artist_id, avg_popularity
0zwMY4gF3aqaBn1cjlk2jR, 1.0
1m1Wuoxvq0h8uL2sN3SwPf, 1.0
5pvCXCFWDht0dc0RWzD38Z, 13.0
5FA7XoqfkhpBtwDIJWrhel, 2.0
6ITlDmLtSRT8f36NVQQENS, 1.0
7qhGDvKT6SyAOK1GOscaCU, 14.0
2qAN5f6Dcq9KTMt3PbcjC1, 39.0
7u1sDAihTzteIOuqFC5yY9, 47.0
7yTZWEdEJE8raacRDmTYx2, 37.0
3N9ZhpiDCKh8UDpqf597SC, 41.0
2ODTXLYnEdR0mekivKcwjM, 6.0
0F8PPX6Ebp0FhVITLkLbbo, 20.0
4odglJivZOcBFYcIKfs9NK, 30.0
03HwiUq0JC408mg1bPkwaf, 30.0
70FP3NmCeCiYbKnfDN5UcH, 22.0
2hRGPSlRUReuHtM0Cx0R7W, 44.0
1ZlIROqKXOEvPgEffO8vri, 41.0
0waTAoqapF3RiXSXZxhiu7, 56.0
2q9p1IXueDbcN4de5C9fI2, 24.0
26VzJUm9Mke7oWw7s3nOxj, 53.0
2zRUJl2CGyWrg4wrh8KYe9, 53.0
6yphIkIqAO5zE9v47ybUFE, 53.0
6GoZo80jsv8AIMB4flJJ1C, 5.0
2fOVm9FqDzhcpBHkOI14Bw, 8.0
1tbhwOH5UBAJoqTx9Oak00, 14.0
7lZtZhN7z46k3DvQpEgtd5, 23.5
1HEn0Lpb5ljfdLD2jiIdQy, 14.0
24Rd4rNLnKZbKmCEl79Fxx, 39.0
6TvwiAPxsB2Zj2o8bNlogk, 34.0
4uIHW758guEB2kTjfmMBc8, 35.0
4aeGrykm46xtHKBLwj3w54, 35.0
3iVYGaRErrrtVdbA3mXzVD, 17.5
3ujLgYPCCryc7HfFjxMM2S, 19.0
42OynfArWdfEeCmkvUV4qC, 20.0
3FpOJexPc0UwAL6U7A9Yzh, 11.0
6H9oDpJUDuw3nkogwhd21s, 6.0
0JudKrRoiRFtNf39630Knq, 6.0
59QoR8vFlxylSsDczH2TxW, 26.0
1hcmqU4ByrfxRKPvohDJKT, 28.5
5kO2EHhesjO3Wit94Q9HfM, 28.5
32Jvs2zDOJSYmkgXeSRuCa, 12.0
6rNxixd8oyimzdgoGQCknt, 1.0
7jcQ9NP8Ji86vAasxOubbn, 10.0
3NK7VmzRnsKp7taQDwoWJu, 6.0
7wfMF7uhijiZuT7QuXySP7, 2.0
6fHUo37jA0zn0bcyLXrijm, 47.0
5PazfPzCNLSH9dOVFi3ZY7, 27.0
1M7By8FKhcHT38Dq6lvRSc, 42.0
0KTlgyFCm6zU6ssI65OKOL, 9.0
5ub9hok6dk1WM0V47u7axT, 32.0
3P2hu0ETfl49nlNZLLXtmJ, 3.0
7nBcis7EuUwIHpCVCIM1Q4, 3.0
0a0iwdYbsJ3MSlDBlMhHQu, 1.0
6WeZjOdyGWluiWi6IR4LmH, 1.0
5Mn5kA7qJ265Ibd62X5D34, 10.0
25FY7Uow1J6w60RWEmRge4, 10.0
4icvDGf6lfvLK7M70f2Gq0, 2.0
7y03hXswVMMkEUjHdK1RSm, 2.0
