popularity,id,1_n,2_n
26,4qLq0MatI5KT1xG49JK84A,23.50000,14.46154
12,0D76GidXzJyteIsEvApOXv,10.00000,15.00000
34,75tSsNh0EYP90xx0U4xcwu,27.00000,22.77143
22,2Cq21pgOVjJOkTKtnYBpL4,18.00000,22.00000
32,3hTiiarNmWWfbNqN7rkRsY,46.00000,47.00000
60,6HHje5tfmzWK8PsSaoJ9Xp,42.90909,43.35200
6,26FVAGgMv8HO5ixEMhtwds,31.00000,6.00000
55,7IvfKO66wMWnKaZHh34IoU,10.00000,55.00000
23,6jfByKIYqZiUyoKystLeKN,19.00000,24.60000
5,6qRc0ugjrPhhBAW7lQtUUS,15.00000,13.50000
8,3VXCWcx3NrpUA3zRP34Kdh,5.00000,8.00000
21,4e9KXOu93BZUx4WagJiAx2,36.00000,33.42857
3,0rsI0PBvRVxrXiEMWNfHVp,6.54545,6.47541
7,6NRlwEj1mJRV3tqejwOwts,8.12500,9.49020
59,6yRnpibMV9phmk5aIiqhVk,51.71429,52.36364
43,1aLC6PgrX4A5tfrpQozpQw,68.50000,54.94118
11,2FdUdx56ImUybEjDjZIs98,4.00000,30.80000
3,3pBiDwO8nhEruP5dDANr1G,25.00000,13.00000
26,78NePMJRUj4x06qJj3o5bP,21.00000,26.00000
7,5UHrHb4b1z650vdIvMBfqa,9.50000,9.08333
54,5q6W2V8zwYbrEA0SSEg0IX,79.00000,47.16667
52,5akLE4T9GWOcySnGtZdBC3,48.75000,48.80556
33,7n0DgT7oELfGWb30YlRatt,8.00000,14.17857
43,6YbvyuBTs8JbVj7iyurrJe,69.50000,58.71429
16,70yQzusWd5DK0SbZk9z6tN,12.50000,12.93750
15,7qYxIUr2PyCgdAos6nCMK1,15.00000,15.00000
3,1oBkrD500An2Qi34Nm4ciC,10.50000,7.66667
2,4yDhGdCovq5etL0N0wVmuz,4.75000,10.00000
24,7nKMI2etaVYFW6r9cTXKto,28.00000,32.87500
46,2tVU8TVXlrwk6KESQxLwH8,47.00000,39.76190
8,1oO19givz7kJVCzPmMRZhQ,18.00000,30.00000
1,7yP9FXisTk6UsgJRcIsEtr,1.00000,1.00000
37,6EpMECCzTmWDtnU08ME6hn,26.00000,13.50000
22,0yp1fxlkZqiO7XZFVv81Mh,7.50000,22.00000
24,0TBbjAcKVKKc8QwMoHPI9f,31.00000,24.00000
36,4R0tSGcVRQ8ZXPzttU8mHy,45.00000,28.70000
25,5LGWlKAdKW31qSd9oinB75,19.00000,12.33333
43,60Nh2f0WGbdJj50SRPyLC2,41.00000,43.00000
24,6Ej2mkedwLDb2dyGGBQmuJ,43.00000,18.33333
27,3RoTsOepyXOi2y3nwz52gJ,28.66667,28.10000
2,6GKcklMWDWYgC0sTwmIXqd,7.00000,16.29412
1,0dVe4BKjrtd5TCBgl3pKWQ,21.00000,22.28571
24,3GC0aj9cMmpG3r0zd3JcrQ,34.33333,28.04854
6,3GjCCv0vUVqukI1EdtB4OB,14.00000,10.33333
2,7FaEGcHPE7FwDl0q08l5nU,6.00000,5.35294
8,0b5MHrvCMgCi7nZdp8OKEI,7.33333,7.18085
53,0Ld26D4Ya5Od7ZZpLanfQJ,48.75000,60.67647
